id;name;author;publisher;instock
1;unleash Connecticut Security;Kids frictionless Markets;innovate Orchestrator software;false
2;Fresh alarm;actuating Baby Optional;synergize models;false
3;haptic Corporate Music;Awesome best-of-breed Corporate;Tasty;false
4;Mountains Intranet interfaces;Awesome static RAM;Home Pizza convergence;false
5;Barthelemy embrace;Buckinghamshire;Buckinghamshire solutions;false
6;green lime;Checking;multi-byte technologies hack;false
7;Credit Rial Generic;Cambridgeshire calculate Interactions;Vatu mission-critical;true
8;encompassing card ROI;Berkshire;Tobago;true
9;withdrawal Idaho;circuit mobile;leading-edge Savings;false
10;SCSI mobile;e-enable Security;fresh-thinking Incredible;true
